# CPU STRESS EXPERIMENT
# CPU load artificially increased
# Latency increases significantly (30–80+ ms)
# All requests still succeed (200)
# Demonstrates performance degradation without failure

Request Number,Latency (ms),Status Code
1,6.293773651123047,200
2,3.2608509063720703,200
3,2.775907516479492,200
4,4.114866256713867,200
5,2.851247787475586,200
6,3.8251876831054688,200
7,2.908468246459961,200
8,3.7355422973632812,200
9,4.920721054077148,200
10,2.814054489135742,200
11,3.2095909118652344,200
12,3.7140846252441406,200
13,2.936840057373047,200
14,2.8448104858398438,200
15,3.1375885009765625,200
16,3.0090808868408203,200
17,3.8385391235351562,200
18,3.9758682250976562,200
19,3.110170364379883,200
20,2.7818679809570312,200
21,3.134489059448242,200
22,3.3125877380371094,200
23,3.240346908569336,200
24,2.767324447631836,200
25,3.5834312438964844,200
26,3.537416458129883,200
27,3.4575462341308594,200
28,3.799915313720703,200
29,2.8438568115234375,200
30,3.4296512603759766,200
31,3.623485565185547,200
32,2.8972625732421875,200
33,3.169536590576172,200
34,2.818584442138672,200
35,3.359556198120117,200
36,2.918243408203125,200
37,3.655672073364258,200
38,3.2949447631835938,200
39,4.193782806396484,200
40,3.872394561767578,200
41,3.2165050506591797,200
42,2.4476051330566406,200
43,3.41796875,200
44,1.9214153289794922,200
45,3.3130645751953125,200
46,3.136873245239258,200
47,3.4117698669433594,200
48,2.5482177734375,200
49,3.9968490600585938,200
50,2.890348434448242,200
51,3.171205520629883,200
52,3.2165050506591797,200
53,3.3626556396484375,200
54,2.969980239868164,200
55,2.7647018432617188,200
56,3.2927989959716797,200
57,3.760814666748047,200
58,2.9897689819335938,200
59,3.221273422241211,200
60,3.0443668365478516,200
61,2.779245376586914,200
62,3.262758255004883,200
63,3.354787826538086,200
64,2.7658939361572266,200
65,3.223896026611328,200
66,2.663850784301758,200
67,4.119396209716797,200
68,3.030538558959961,200
69,3.3872127532958984,200
70,2.729177474975586,200
71,3.1201839447021484,200
72,3.374814987182617,200
73,3.877401351928711,200
74,2.8159618377685547,200
75,4.029512405395508,200
76,3.690481185913086,200
77,3.9865970611572266,200
78,2.927541732788086,200
79,3.206491470336914,200
80,4.469633102416992,200
81,2.679586410522461,200
82,3.261089324951172,200
83,3.4813880920410156,200
84,3.4513473510742188,200
85,3.90625,200
86,3.8208961486816406,200
87,2.9516220092773438,200
88,4.145622253417969,200
89,3.1592845916748047,200
90,2.879619598388672,200
91,2.811908721923828,200
92,3.2613277435302734,200
93,3.239154815673828,200
94,3.819704055786133,200
95,3.904104232788086,200
96,3.9222240447998047,200
97,3.071308135986328,200
98,3.2587051391601562,200
99,3.8309097290039062,200
100,3.96728515625,200
