# BASELINE EXPERIMENT
# All requests should return 200
# Latency is low (3–28 ms)
# This represents normal system behaviour
# Used as comparison for all fault experiments

Request Number,Latency (ms),Status Code
1,6.707191467285156,200
2,3.178834915161133,200
3,2.1839141845703125,200
4,2.1474361419677734,200
5,2.501249313354492,200
6,2.4309158325195312,200
7,2.553701400756836,200
8,2.698183059692383,200
9,2.2351741790771484,200
10,2.3810863494873047,200
11,2.4008750915527344,200
12,2.2776126861572266,200
13,2.154827117919922,200
14,2.4003982543945312,200
15,2.4077892303466797,200
16,2.570629119873047,200
17,2.5625228881835938,200
18,2.482175827026367,200
19,1.995086669921875,200
20,2.149820327758789,200
21,2.0601749420166016,200
22,2.0585060119628906,200
23,2.171039581298828,200
24,2.4149417877197266,200
25,2.191781997680664,200
26,2.4213790893554688,200
27,2.270221710205078,200
28,2.3806095123291016,200
29,2.195596694946289,200
30,2.3479461669921875,200
31,2.6092529296875,200
32,2.7158260345458984,200
33,2.514362335205078,200
34,2.5568008422851562,200
35,2.7217864990234375,200
36,2.488851547241211,200
37,2.559661865234375,200
38,2.5115013122558594,200
39,2.7887821197509766,200
40,2.809286117553711,200
41,2.5730133056640625,200
42,2.25067138671875,200
43,2.3496150970458984,200
44,2.2907257080078125,200
45,2.1393299102783203,200
46,2.1076202392578125,200
47,2.1452903747558594,200
48,2.1262168884277344,200
49,2.1440982818603516,200
50,2.249002456665039,200
51,2.1936893463134766,200
52,2.255678176879883,200
53,2.096414566040039,200
54,2.1944046020507812,200
55,2.2699832916259766,200
56,2.1436214447021484,200
57,2.2916793823242188,200
58,2.2804737091064453,200
59,2.7971267700195312,200
60,2.826213836669922,200
61,2.1424293518066406,200
62,2.3305416107177734,200
63,2.335071563720703,200
64,2.5587081909179688,200
65,2.2628307342529297,200
66,2.383708953857422,200
67,2.2439956665039062,200
68,2.1483898162841797,200
69,2.491474151611328,200
70,2.438783645629883,200
71,2.1827220916748047,200
72,2.6853084564208984,200
73,2.81524658203125,200
74,2.6178359985351562,200
75,2.955913543701172,200
76,2.6483535766601562,200
77,2.996206283569336,200
78,2.769947052001953,200
79,2.50244140625,200
80,2.4628639221191406,200
81,2.274036407470703,200
82,2.531766891479492,200
83,2.1953582763671875,200
84,2.2449493408203125,200
85,2.3713111877441406,200
86,2.186298370361328,200
87,2.070188522338867,200
88,2.191781997680664,200
89,2.2079944610595703,200
90,2.177715301513672,200
91,2.5603771209716797,200
92,2.4356842041015625,200
93,2.3946762084960938,200
94,2.5358200073242188,200
95,2.7015209197998047,200
96,2.5224685668945312,200
97,2.713441848754883,200
98,2.8083324432373047,200
99,2.733469009399414,200
100,2.6450157165527344,200
