# ERROR EXPERIMENT
# Endpoint deliberately returns HTTP 500
# All requests fail
# Used to test monitoring of failures

Request Number,Latency (ms),Status Code
1,7.486820220947266,200
2,2.759695053100586,200
3,2.688169479370117,200
4,2.343893051147461,200
5,2.5103092193603516,200
6,2.1789073944091797,200
7,2.5784969329833984,200
8,2.149343490600586,200
9,2.179861068725586,200
10,2.2041797637939453,200
11,2.2284984588623047,200
12,2.8951168060302734,200
13,2.671480178833008,200
14,2.1419525146484375,200
15,2.123117446899414,200
16,2.325773239135742,200
17,2.372264862060547,200
18,2.3899078369140625,200
19,2.0270347595214844,200
20,2.231597900390625,200
21,2.363443374633789,200
22,2.1262168884277344,200
23,2.159595489501953,200
24,2.1355152130126953,200
25,2.0983219146728516,200
26,4.183530807495117,200
27,2.5234222412109375,200
28,2.3031234741210938,200
29,2.0775794982910156,200
30,2.5300979614257812,200
31,2.138376235961914,200
32,2.0160675048828125,200
33,2.3496150970458984,200
34,2.199888229370117,200
35,2.275228500366211,200
36,3.1354427337646484,200
37,3.130674362182617,200
38,2.8667449951171875,200
39,2.814054489135742,200
40,2.582550048828125,200
41,2.7627944946289062,200
42,2.7849674224853516,200
43,2.670764923095703,200
44,2.7048587799072266,200
45,2.268075942993164,200
46,6.928920745849609,200
47,2.674102783203125,200
48,2.1238327026367188,200
49,2.0160675048828125,200
50,2.123117446899414,200
51,2.031087875366211,200
52,2.3040771484375,200
53,2.1851062774658203,200
54,2.171039581298828,200
55,3.383636474609375,200
56,2.408266067504883,200
57,2.810955047607422,200
58,2.7527809143066406,200
59,2.3789405822753906,200
60,2.308368682861328,200
61,2.2945404052734375,200
62,2.3069381713867188,200
63,2.137899398803711,200
64,2.3546218872070312,200
65,2.232789993286133,200
66,2.069711685180664,200
67,2.2847652435302734,200
68,2.1398067474365234,200
69,2.185344696044922,200
70,2.094745635986328,200
71,2.2177696228027344,200
72,2.0215511322021484,200
73,2.254009246826172,200
74,2.0780563354492188,200
75,2.1431446075439453,200
76,2.1202564239501953,200
77,2.6509761810302734,200
78,2.814769744873047,200
79,2.0928382873535156,200
80,1.9555091857910156,200
81,2.11334228515625,200
82,2.1355152130126953,200
83,2.748727798461914,200
84,7.942914962768555,200
85,2.126932144165039,200
86,2.8841495513916016,200
87,2.4907588958740234,200
88,2.8257369995117188,200
89,2.2745132446289062,200
90,2.4776458740234375,200
91,2.6273727416992188,200
92,2.625703811645508,200
93,2.552032470703125,200
94,2.589702606201172,200
95,2.2628307342529297,200
96,2.5894641876220703,200
97,3.073453903198242,200
98,2.2246837615966797,200
99,2.323627471923828,200
100,2.389669418334961,200
