timestamp,req_id,latency_ms,status
2026-04-11 21:47:38.788703,05ba2ec7-668a-4b50-9252-4543cfd26caf,6.11,500
2026-04-11 21:47:38.869050,eb26a682-bea7-43eb-9723-07e6e193eade,29.81,500
2026-04-11 21:47:38.946275,2c337251-1107-4b53-89af-b77da0fecb54,26.65,500
2026-04-11 21:47:39.000872,fc8bbda8-9d57-4917-81fb-e78a414938fc,4.11,500
2026-04-11 21:47:39.055045,cc61b564-5d11-443b-a2a4-4307e56aa42e,3.52,500
2026-04-11 21:47:39.132976,a5d090f8-a720-401b-bd39-7b2a749e2706,26.94,500
2026-04-11 21:47:39.210731,21dcf782-7a4f-45bf-8362-f29bf75e0dad,26.84,500
2026-04-11 21:47:39.264703,d4f155bc-fbe9-47c9-b7e0-d5190ebaf749,3.25,500
2026-04-11 21:47:39.318860,9d03b543-bbf5-43d6-8e23-cdffb2df451a,3.19,500
2026-04-11 21:47:39.373310,ba7a21db-9629-4fcd-b39d-036159ccae17,3.53,500
