# MEMORY STRESS EXPERIMENT
# Memory usage gradually increases
# Latency similar to baseline
# All requests succeed (200)
# Shows different fault pattern vs CPU

Request Number,Latency (ms),Status Code
1,5.250692367553711,200
2,3.7567615509033203,200
3,4.132270812988281,200
4,3.100156784057617,200
5,3.3762454986572266,200
6,3.665924072265625,200
7,2.886056900024414,200
8,4.996299743652344,200
9,3.9331912994384766,200
10,2.5475025177001953,200
11,3.217935562133789,200
12,2.9256343841552734,200
13,3.185272216796875,200
14,3.137350082397461,200
15,3.307819366455078,200
16,3.6165714263916016,200
17,3.8073062896728516,200
18,4.009485244750977,200
19,2.9795169830322266,200
20,2.9087066650390625,200
21,2.933502197265625,200
22,3.8421154022216797,200
23,3.0510425567626953,200
24,2.716541290283203,200
25,3.0181407928466797,200
26,2.892017364501953,200
27,2.9230117797851562,200
28,3.2320022583007812,200
29,3.7832260131835938,200
30,3.742694854736328,200
31,2.941131591796875,200
32,2.95257568359375,200
33,3.2749176025390625,200
34,4.364013671875,200
35,3.30352783203125,200
36,3.0498504638671875,200
37,2.9518604278564453,200
38,3.41796875,200
39,3.6928653717041016,200
40,3.2029151916503906,200
41,2.9485225677490234,200
42,3.358125686645508,200
43,3.521442413330078,200
44,5.48243522644043,200
45,2.7179718017578125,200
46,3.225564956665039,200
47,2.8824806213378906,200
48,3.2112598419189453,200
49,3.196239471435547,200
50,1.8925666809082031,200
51,3.345012664794922,200
52,2.717733383178711,200
53,3.374814987182617,200
54,3.7398338317871094,200
55,1.8765926361083984,200
56,3.4139156341552734,200
57,3.6208629608154297,200
58,2.9990673065185547,200
59,4.159688949584961,200
60,3.1189918518066406,200
61,2.939462661743164,200
62,2.648591995239258,200
63,2.9790401458740234,200
64,4.128932952880859,200
65,3.1397342681884766,200
66,3.7839412689208984,200
67,3.2351016998291016,200
68,2.146005630493164,200
69,3.441333770751953,200
70,3.674030303955078,200
71,2.132892608642578,200
72,4.316806793212891,200
73,3.487825393676758,200
74,3.2227039337158203,200
75,2.6454925537109375,200
76,4.191875457763672,200
77,2.8839111328125,200
78,2.9876232147216797,200
79,3.6373138427734375,200
80,3.7107467651367188,200
81,3.9815902709960938,200
82,3.8356781005859375,200
83,3.106355667114258,200
84,3.401517868041992,200
85,2.8204917907714844,200
86,3.2372474670410156,200
87,3.9110183715820312,200
88,3.1490325927734375,200
89,3.1168460845947266,200
90,3.371715545654297,200
91,3.6172866821289062,200
92,4.179716110229492,200
93,2.9294490814208984,200
94,3.7298202514648438,200
95,2.808094024658203,200
96,3.242015838623047,200
97,3.126382827758789,200
98,4.77290153503418,200
99,4.706144332885742,200
100,3.9272308349609375,200
