timestamp,req_id,latency_ms,status
2026-04-11 21:04:35.021355,b9c1c97e-301d-421d-be43-499b881f71b4,4.27,200
2026-04-11 21:04:35.075199,b08fc335-2775-479f-9af3-dbddf0689651,2.69,200
2026-04-11 21:04:35.129435,ae5c1817-e58e-4d04-9fca-c7aec75b572d,3.02,200
2026-04-11 21:04:35.183055,d1c1d315-dca9-409f-892f-92b54b7b6c92,3.04,200
2026-04-11 21:04:35.254505,362da465-6761-4d69-80fc-0b6d5ed8f004,20.69,200
2026-04-11 21:04:35.332067,078d60fd-58b1-4056-a57d-53e9278fd3c4,26.77,200
2026-04-11 21:04:35.410383,bf0c7869-a8d9-4245-975b-8ad4a1f2748e,27.2,200
2026-04-11 21:04:35.487478,8d77546d-eb68-44ec-b9a3-e12c817aa3fa,26.13,200
2026-04-11 21:04:35.564797,20ac2fa1-4e85-4964-a066-cfbd25675931,26.01,200
2026-04-11 21:04:35.627680,72013caf-f363-448b-848a-439bc7d9dd78,12.08,200
