timestamp,req_id,latency_ms,status
2026-04-11 21:06:25.778810,82c24d58-a41c-409e-a708-f59b26e0d330,5.16,200
2026-04-11 21:06:25.843297,3fed2f2a-d5f7-4d43-8977-e52aaf1b7302,13.92,200
2026-04-11 21:06:25.920319,17bbd1cf-27e0-4fdf-9406-49eb91daa751,26.41,200
2026-04-11 21:06:25.974462,0a7993da-e6b8-49e7-bef3-7bb0a6fbc8d1,3.03,200
2026-04-11 21:06:26.045423,a8f828fd-95e3-458c-8576-bd7e0b57c205,20.59,200
2026-04-11 21:06:26.122356,899d9759-05eb-499b-acfb-b580001a22ae,26.17,200
2026-04-11 21:06:26.200525,eb71ee27-b2b0-42af-bcfb-06b02724a74e,26.86,200
2026-04-11 21:06:26.278069,9afeb1cc-fb7e-4e5c-8549-65f6f3bb148a,26.43,200
2026-04-11 21:06:26.331386,edadbb27-d43c-4ff6-8e05-dd6164ac4b2a,2.63,200
2026-04-11 21:06:26.402502,9beb9896-f557-4ab9-bf7e-1aac7f38b0f2,19.72,200
