timestamp,req_id,latency_ms,status
2026-04-11 21:04:29.295494,e97bab9d-3736-497a-9129-f2d265db360f,48.07,200
2026-04-11 21:04:29.472124,cab0d856-0c43-45a5-b341-650dcaf55bcb,125.55,200
2026-04-11 21:04:29.577619,bb52a55b-6abd-4597-9830-b18c2f7ffab5,53.9,200
2026-04-11 21:04:29.669433,27c77431-b146-4ba2-afe2-ffc46223a440,41.23,200
2026-04-11 21:04:29.771673,0e241fc0-b3f1-412e-a735-6ff2ea2f7bf9,51.97,200
2026-04-11 21:04:29.863774,5950534b-b15d-435f-a34f-a2890635a7e0,41.23,200
2026-04-11 21:04:29.956471,e91bb87e-e797-440e-9849-ba2db624b29d,42.0,200
2026-04-11 21:04:30.077611,f985bf94-f4dd-4a18-b531-af740392e201,70.66,200
2026-04-11 21:04:30.149534,71cb2d92-be8c-4258-93a4-d530007bfee2,20.85,200
2026-04-11 21:04:30.234632,4a542abf-958b-448e-a0ef-27fa93582638,34.08,200
