timestamp,req_id,latency_ms,status
2026-04-09 20:59:24.296993,8e61075f-32aa-4635-b8fd-3a53adf743e4,6.59,200
2026-04-09 20:59:24.351368,34cd81b6-5106-43d2-9599-651fc9b9ff55,3.52,200
2026-04-09 20:59:24.419993,2155cd6c-efff-4243-92dd-07f868ffee11,17.18,200
2026-04-09 20:59:24.498965,921903e8-e6ef-44cc-8965-911aaede06c0,27.9,200
2026-04-09 20:59:24.552607,81502c67-f552-499d-8bee-42e7f9be545b,2.65,200
2026-04-09 20:59:24.623319,1f242382-de9f-4723-90fd-bf2d42543600,19.29,200
2026-04-09 20:59:24.701072,37d330fe-b0e2-481e-8a68-f7dc61826a9c,27.18,200
2026-04-09 20:59:24.778848,563a9403-9514-414e-94db-d961e982f2d8,27.43,200
2026-04-09 20:59:24.855730,c31375f4-b954-49f8-a656-4c87e90fadcd,26.39,200
2026-04-09 20:59:24.933640,d5b060d0-7f91-4821-91fa-7e456d77bc32,26.94,200
